yearID,teamID,G,W,WAR,Salary,Adj_Factor,Adjusted_Salary,Attendance
2002,STL,162,97,28.9,"$74,260,875 ",1.39,"$103,222,616 ","3,011,756"
2002,TBD,161,55,13.3,"$33,878,000 ",1.39,"$47,090,420 ","1,065,762"
2002,TEX,162,72,22.6,"$103,359,455 ",1.39,"$143,669,642 ","2,352,447"
2002,TOR,162,78,19.2,"$73,064,333 ",1.39,"$101,559,423 ","1,636,904"
2003,ARI,162,84,6.9,"$80,657,000 ",1.36,"$109,693,520 ","2,805,542"
2003,ATL,162,101,36.3,"$103,243,667 ",1.36,"$140,411,387 ","2,401,084"
2003,BAL,163,71,16.7,"$53,547,500 ",1.36,"$72,824,600 ","2,454,523"
2003,BOS,162,95,34.9,"$99,646,500 ",1.36,"$135,519,240 ","2,724,165"
2003,CHC,162,86,12,"$79,258,333 ",1.36,"$107,791,333 ","2,962,630"
2003,CHW,162,88,23,"$51,010,000 ",1.36,"$69,373,600 ","1,939,524"
2003,CIN,162,69,14.7,"$58,965,667 ",1.36,"$80,193,307 ","2,355,259"
2003,CLE,162,68,18.5,"$39,984,834 ",1.36,"$54,379,374 ","1,730,002"
2003,COL,162,74,19.7,"$67,179,667 ",1.36,"$91,364,347 ","2,334,085"
2003,DET,162,43,5.1,"$49,168,000 ",1.36,"$66,868,480 ","1,368,245"
2003,FLA,162,91,18.1,"$49,150,000 ",1.36,"$66,844,000 ","1,303,215"
2003,HOU,162,87,26.6,"$70,730,000 ",1.36,"$96,192,800 ","2,454,241"
2003,KCR,162,83,15,"$40,518,000 ",1.36,"$55,104,480 ","1,779,895"
2003,LAA,162,77,20,"$78,729,167 ",1.36,"$107,071,667 ","3,061,094"
2003,LAD,162,85,10.9,"$105,572,620 ",1.36,"$143,578,763 ","3,138,626"
2003,MIL,162,68,9.1,"$40,322,000 ",1.36,"$54,837,920 ","1,700,354"
2003,MIN,162,90,24.7,"$55,505,000 ",1.36,"$75,486,800 ","1,946,011"
2003,MON,162,83,8,"$47,848,500 ",1.36,"$65,073,960 ","1,025,639"
2003,NYM,161,66,2.4,"$116,876,429 ",1.36,"$158,951,943 ","2,140,599"
2003,NYY,163,101,31.2,"$147,199,814 ",1.36,"$200,191,747 ","3,465,600"
2003,OAK,162,96,19.1,"$50,260,834 ",1.36,"$68,354,734 ","2,216,596"
2003,PHI,162,86,27.8,"$70,460,000 ",1.36,"$95,825,600 ","2,259,948"
2003,PIT,162,75,17.3,"$50,709,929 ",1.36,"$68,965,503 ","1,636,751"
2003,SDP,162,64,19.1,"$45,210,000 ",1.36,"$61,485,600 ","2,030,084"
2003,SEA,162,93,28.9,"$86,659,167 ",1.36,"$117,856,467 ","3,268,509"
2003,SFG,161,100,23.3,"$74,102,167 ",1.36,"$100,778,947 ","3,264,898"
2003,STL,162,85,29.8,"$82,881,666 ",1.36,"$112,719,066 ","2,910,386"
2003,TBD,162,63,20.6,"$19,630,000 ",1.36,"$26,696,800 ","1,058,695"
2003,TEX,162,71,24.5,"$93,125,000 ",1.36,"$126,650,000 ","2,094,394"
2003,TOR,162,86,24.1,"$50,959,000 ",1.36,"$69,304,240 ","1,799,458"
2004,ARI,162,51,-0.5,"$69,450,750 ",1.33,"$92,369,498 ","2,519,560"
2004,ATL,162,96,26.8,"$90,182,500 ",1.33,"$119,942,725 ","2,322,565"
2004,BAL,162,78,24.4,"$43,623,333 ",1.33,"$58,019,033 ","2,744,013"
2004,BOS,162,98,29.8,"$126,694,000 ",1.33,"$168,503,020 ","2,837,304"
2004,CHC,162,83,19.8,"$90,560,000 ",1.33,"$120,444,800 ","3,170,184"
2004,CHW,162,89,25.4,"$65,212,500 ",1.33,"$86,732,625 ","1,930,537"
2004,CIN,162,76,18.7,"$46,315,250 ",1.33,"$61,599,283 ","2,287,250"
2004,CLE,162,80,31.6,"$33,700,800 ",1.33,"$44,822,064 ","1,814,401"
2004,COL,162,68,15.7,"$56,445,167 ",1.33,"$75,072,072 ","2,338,069"
2004,DET,162,72,26.6,"$46,203,000 ",1.33,"$61,449,990 ","1,917,004"
2004,FLA,162,83,18.6,"$41,838,042 ",1.33,"$55,644,596 ","1,723,105"
2004,HOU,162,92,25.1,"$75,397,000 ",1.33,"$100,278,010 ","3,087,872"
2004,KCR,162,58,9.6,"$46,667,500 ",1.33,"$62,067,775 ","1,661,478"
2004,LAA,162,92,24.2,"$100,233,167 ",1.33,"$133,310,112 ","3,375,677"
2004,LAD,162,93,28,"$81,684,334 ",1.33,"$108,640,164 ","3,488,283"
2004,MIL,161,67,6.3,"$27,528,500 ",1.33,"$36,612,905 ","2,062,382"
2004,MIN,162,92,18,"$48,140,000 ",1.33,"$64,026,200 ","1,879,222"
2004,MON,162,67,7.7,"$40,587,500 ",1.33,"$53,981,375 ","748,550"
2004,NYM,162,71,7.6,"$78,844,303 ",1.33,"$104,862,923 ","2,318,321"
2004,NYY,162,101,25.7,"$184,193,950 ",1.33,"$244,977,954 ","3,775,292"
2004,OAK,162,91,22.4,"$59,102,167 ",1.33,"$78,605,882 ","2,201,516"
2004,PHI,162,86,24.5,"$92,619,167 ",1.33,"$123,183,492 ","3,206,532"
2004,PIT,161,72,8.5,"$32,227,929 ",1.33,"$42,863,146 ","1,583,031"
2004,SDP,162,87,26.4,"$55,384,833 ",1.33,"$73,661,828 ","3,040,046"
2004,SEA,162,63,17.9,"$81,215,834 ",1.33,"$108,017,059 ","2,940,731"
